region,anzsic_descriptor,anzsic_descriptor2,category,gas,units,magnitude,year,data_val
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,179.43
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,185.9
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,186.66
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,156.78
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,150.24
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,102.34
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,126.89
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,158.96
Tasman/Nelson,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,159.08
Waikato,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,112.61
Waikato,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,120.85
Waikato,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,108.63
Waikato,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,112.28
Waikato,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,120.91
